sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
1,LTE,LTE,244,91,4230,37088779,486,60.1844697,24.824561,-95,,52.1,1696063688568,0.0,0.0,2.5,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088779,486,60.1844793,24.8244094,-102,,98.5,1696063695393,1.0,277.5,3.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088779,486,60.1844889,24.8241498,-105,,57.6,1696063700410,1.9,275.1,5.3,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088779,486,60.1844958,24.8239927,-105,,277.0,1696063705318,1.8,275.1,7.7,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088779,486,60.1845027,24.8238375,-100,,500.8,1696063710325,1.8,275.1,8.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088779,486,60.1845094,24.8236871,-100,,725.1,1696063715342,1.8,275.1,14.0,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088779,486,60.1845159,24.8235397,-101,,952.8,1696063720436,1.7,275.1,13.8,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088789,487,60.1845256,24.8233198,-101,,1349.7,1696063729315,1.6,275.1,5.3,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088791,193,60.1845279,24.823264,-105,,736.2,1696063734337,1.5,275.1,7.0,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088791,193,60.1845294,24.8232278,-112,,836.6,1696063739356,1.3,275.1,3.4,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088535,445,60.1845294,24.8232263,-109,,936.8,1696063744366,1.0,275.0,-9.8,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088535,445,60.1845273,24.8232693,-103,,1037.1,1696063749381,0.6,274.9,-13.3,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088535,445,60.184518,24.8234725,-88,,1237.4,1696063759396,0.1,96.1,1.5,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088535,445,60.184512,24.8236038,-88,,1337.4,1696063764399,0.4,95.5,1.3,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088535,445,60.1845061,24.8237348,-96,,1438.0,1696063769429,0.6,95.3,0.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088535,445,60.1845007,24.8238553,-102,,1538.2,1696063774436,0.8,95.3,-1.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088533,244,60.1844959,24.8239603,-107,,1638.2,1696063779437,0.8,95.3,-1.5,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088525,444,60.184492,24.8240483,-115,,1738.3,1696063784445,0.9,95.2,-1.2,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088525,444,60.1844888,24.8241197,-113,,1838.5,1696063789450,0.8,95.2,-8.2,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088525,444,60.1750518,24.8040685,-107,,87.6,1696063794586,0.0,0.0,-10.4,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088525,444,60.1749398,24.8038283,-104,,39.6,1696063799589,0.3,226.8,-9.9,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088525,444,60.1749662,24.8038741,-100,,113.7,1696063821524,0.0,0.0,-6.0,33,Samsung_SM-S911B
